Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Dividend Yield,Sector,Industry,About
ORIENTTECH,591.15,9.99,41,07-Jan-25,Equity,"? 1,429 Cr.",27.9,27.30%,34.00%,0.52%,IT - Software,Computers - Software - Medium / Small,"Incorporated in July 1997, Orient Technologies Limited is a rapidly expanding IT solutions provider based in Mumbai, Maharashtra, with deep expertise in creating specialized products and solutions within its business verticals."
OSELDEVICE,320,-4.99,41,07-Jan-25,SME,? 410 Cr.,26,69.40%,54.20%,0.00%,Consumer Durables,Electronics - Consumer,"Founded in 2006, Osel Devices Limited manufactures LED display systems and hearing aids.[1]"
PARADEEP,123.22,2.44,41,07-Jan-25,Equity,"? 8,292 Cr.",20.1,3.26%,6.73%,0.49%,Fertilizers,Fertilizers,"Incorporated in 1981, Paradeep Phosphates Limited is a manufacturer of non-urea fertilizers and India�s second largest private sector phosphatic company. The company is engaged in manufacturing, trading, distribution, and sales of a variety of complex fertilizers such as DAP, three grades of Nitrogen-Phosphorus-Potassium (namely NPK-10, NPK-12, and NP-20), Zypmite, Phospho-gypsum, and Hydroflorosilicic Acid."
PGIL,1566.8,2.65,41,07-Jan-25,Equity,"? 6,531 Cr.",151,6.95%,9.54%,0.62%,Readymade Garments/ Apparells,Textiles - Products,"Pearl Global Industries Ltd. incorporated in 1987. [1] Pearl Global Industries Limited (PGIL) is a garment exporter, manufacturing from multiple sourcing regions within India and countries within South Asia. The product range includes knits, woven, and bottoms across men, women, and kids' wear segments."
PIGL,360.25,5,68,07-Jan-25,Equity,? 404 Cr.,35.7,12.20%,17.00%,0.08%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1975, Power & Instrumentation (Gujarat) Ltd is in the business of Electrical Contract Work and deals in electrical
equipment"
PTCIL,16900,8.02,41,07-Jan-25,Equity,"? 19,604 Cr.",800,5.22%,7.83%,0.00%,"Castings, Forgings & Fastners",Castings & Forgings,"PTC Industries Limited manufactures metal components for critical and supercritical applications for industries like Defence, Oil & Gas, Liquefied Natural Gas (LNG), Ships & Marine etc. {# https://www.bseindia.com/bseplus/AnnualReport/539006/72682539006.pdf#page.20000"
SHAKTIPUMP,1280.85,5,41,07-Jan-25,Equity,"? 10,159 Cr.",28.2,22.60%,29.50%,0.08%,Capital Goods-Non Electrical Equipment,Pumps,"Shakti Pumps (India) Ltd is primarily engaged in manufacturing of pumps and motors of various kinds. It also offers advanced water pumping solutions to a wide range of applications such as irrigation, horticulture, domestic water supply, commercial and industrial applications.
Its brand ""Shakti"" is well received in the domestic and international markets."
STEELCAS,874,-2.59,68,07-Jan-25,Equity,"? 1,697 Cr.",26.5,30.80%,40.00%,0.86%,"Castings, Forgings & Fastners",Castings & Forgings,Steelcast Limited (SCL) is engaged in the business of manufacturing Steel and Alloy Steel Castings catering to a host of OEMs for diverse industrial sectors.
SUNFLAG,297.75,-1.23,58,07-Jan-25,Equity,"? 4,003 Cr.",24.8,3.34%,5.67%,0.00%,Steel,Steel - Medium / Small,"Sunflag Iron & Steel Company Ltd was established in 1984 & is a part of Sunflag Group, company started operations in 1989 as a spring steel producer however, at present the company manufactures mild-steel and alloy steel products of varieties like carbon steel, free & semi free cutting steels,etc."
TECHLABS,1517.5,5,66,07-Jan-25,SME,"? 1,764 Cr.",111,28.30%,29.50%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, Trident Techlabs Ltd
sells goods and also provides power sector consultancy[1]"
VISASTEEL,43.33,4.99,41,07-Jan-25,Equity,? 407 Cr.,Book Value,%,-7.08%,0.00%,Ferro Alloys,Mining / Minerals / Metals,"Incorporated in 1996, VISA Steel Ltd does manufacturing of High Carbon Ferro Chrome[1]"
ZOTA,971,13.74,41,07-Jan-25,Equity,"? 2,412 Cr.",387,3.13%,4.56%,0.11%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Zota Health Care Limited is a renowned pharmaceutical company that manufactures, markets, and exports pharmaceutical, ayurvedic, nutraceutical, and over-the-counter (OTC) products across boundaries into the semi-regulated and regulated markets of Asian Countries markets of African Countries, Russian Countries & Latin America."
AARTECH,95.36,-5,,08-Jan-25,Equity,? 211 Cr.,45.2,2.05%,5.35%,0.38%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1982, Aartech Solonics Ltd is a manufacturer of Electrical Machinery and Apparatus N.E.C."
AEGISLOG,948,-1.65,,08-Jan-25,Equity,"? 25,175 Cr.",58.6,17.80%,21.60%,0.91%,Trading,Trading,"Aegis Logistics (Formely known as Aegis Chemical Industries Ltd.), incorporated in 1956 provide logistic solutions for oil, gas, chemicals, and petrochemical industries."
AMIORG,2340,5.81,,08-Jan-25,Equity,"? 8,859 Cr.",68.8,9.36%,13.50%,0.14%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs,"Ami Organics Limited is one of the leading research and development-driven manufacturers of specialty chemicals. The company manufactures different types of Advanced Pharmaceutical Intermediates and Active Pharmaceutical Ingredients (API) for New Chemical Entities, and materials for agrochemicals and fine chemicals."
ANANTRAJ,935,5.69,,08-Jan-25,Equity,"? 18,990 Cr.",97.4,4.22%,4.75%,0.13%,Realty,Construction,"Anant Raj Ltd was incorporated in 1985 as Anant Raj Clay Products by Ashok Sarin. It is primarily engaged in the development and construction of IT parks, hospitality projects, SEZs, office complexes, shopping malls and residential projects in the State of Delhi, Haryana, Andhra Pradesh, Rajasthan and NCR.
The Company has successfully developed more than 20 msf of real estate projects in the Housing, Commercial, IT Parks, Shopping Malls, Hospitality, Residential and Affordable Housing sub-segments."
APARINDS,10733,-8,,08-Jan-25,Equity,"? 25,577 Cr.",32.5,28.40%,46.10%,0.80%,Capital Goods - Electrical Equipment,Electric Equipment,"Apar, founded by Mr. Dharmsinh D. Desai in 1958, is a market leader in India with a global presence. Contributing to India�s process of electrification it started from manufacturing power transmission cables to having three broad business segments, which are Conductors, Transformer and specialty oils (TSO), and Power/telecom Cables."
ASALCBR,1191,6.97,,08-Jan-25,Equity,"? 2,188 Cr.",30.6,12.90%,14.50%,0.18%,Alcoholic Beverages,Breweries & Distilleries,"Associated Alcohols & Breweries Ltd is in business of manufacturing and trading of ENA, Indian Made Indian Liquor (Country Liquor), Indian Made Foreign Liquor and Hand sanitizer."
ASHAPURMIN,484.5,9.6,,08-Jan-25,Equity,"? 3,956 Cr.",52.2,78.20%,54.40%,0.00%,Mining & Mineral products,Mining / Minerals / Metals,"Incorporated on 19th February 1982, Ashapura Minechem Ltd. is engaged in the mining, manufacturing and trading of various minerals and its derivative products. The company offers multi-mineral solutions across several industries from soaps to steel, energy to edible oils, metal to medicine and cement to ceramics. The company has its network of operations pan-India and in 7 other countries."
ATLASCYCLE,97.68,5,,08-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
AVONMORE,28.68,4.98,,08-Jan-25,Equity,? 641 Cr.,46.9,-0.07%,2.78%,0.00%,Finance,Finance & Investments,"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans
and advances to corporations, and sub-
broker advisory services"
BLUEJET,595.15,-1.98,,08-Jan-25,Equity,"? 12,545 Cr.",53.4,22.40%,30.00%,0.14%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1968, Blue Jet Healthcare (earlier called Jet Chemicals Pvt Ltd) is a pharmaceutical and healthcare ingredient & intermediate company and the first manufacturer of saccharin and its salts (artificial sweeteners) in India."
CELLECOR,75.7,-2.51,,08-Jan-25,SME,"? 1,232 Cr.",52,31.00%,29.20%,0.00%,Retail,Trading,"Incorporated in 2020, Cellecor GadgetsLtd is in the business of selling consumer electronic products[1]"
CHETANA,110.95,18.22,,08-Jan-25,SME,? 189 Cr.,15.7,%,%,0.00%,Printing & Stationery,Printing & Stationery,"Established in 2017, Chetana Education Limited publishes CBSE/State Board textbooks for K-12 and develops educational software and videos accessible via QR codes."
DEEPINDS,607,0.35,,08-Jan-25,Equity,"? 3,012 Cr.",24,8.40%,10.70%,0.52%,Crude Oil & Natural Gas,Oil Drilling / Allied Services,"Incorporated in 1991, Deep Industries Ltd is in the business of Oil and Gas field services. The company specializes in providing Air & Gas Compression Services, Drilling and Workover Services, Gas Dehydration Services, etc.. The company also provides integrated project management services."
DHAN-RE,4.85,-40.05,,08-Jan-25,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
DYNAMIC,375,0.5,,08-Jan-25,SME,? 334 Cr.,30.9,12.70%,17.10%,0.00%,Miscellaneous,Miscellaneous,"Incorporated in 2001, Dynamic Services and Security Ltd provides Mechanized Cleaning, Conservancy, Housekeeping, Catering,
Security & Man Power Supply, etc."
EPACK,628.95,-2.09,,08-Jan-25,Equity,"? 3,550 Cr.",75.5,6.03%,8.45%,0.00%,Consumer Durables,Air-conditioners,"Incorporated in 2019, EPACK Durable Limited is an Original Design Manufacturer (ODM) of room air conditioners (RAC).[1]"
ESPRIT,151.5,-1.88,,08-Jan-25,SME,? 260 Cr.,28.9,16.40%,14.80%,0.00%,Mining & Mineral products,Miscellaneous,"Founded in 2016, Esprit Stones Limited manufactures engineered quartz and marble surfaces.[1]"
GANESHHOUC,1344,4.28,,08-Jan-25,Equity,"? 10,574 Cr.",22,24.90%,33.30%,0.87%,Realty,Construction,"Incorporated in 1991, Ganesh Housing Corporation Ltd is in the business of real estate development in residential and commercial segment and infrastructure projects"
GARUDA,146.89,3.32,,08-Jan-25,Equity,"? 1,008 Cr.",27.7,36.20%,49.20%,0.02%,Construction,Construction,"Incorporated in 2010, Garuda Construction provides end-to-end civil construction for residential, commercial, residential cum
commercial, infrastructure, and industrial projects."
GENESYS,981,-1.87,,08-Jan-25,Equity,"? 3,078 Cr.",45.1,8.89%,11.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Genesys International Corporation Ltd is engaged in providing Geographical Information Services comprising of photogrammetry, remote sensing, cartography, data conversion, terrestrial and 3D geo-content including location navigation mapping and other computer based related services."
GICL,105,3.45,,08-Jan-25,SME,? 269 Cr.,87.5,6.01%,8.65%,0.00%,Logistics,Miscellaneous,"Incorporated in 2010, Globe International
Carriers Ltd. is an end-to-end transportation
and logistic service provider[1]"
INDOFARM,278.29,1.68,,08-Jan-25,Equity,? 923 Cr.,68.2,4.67%,8.39%,0.00%,Automobile,Automobiles - Tractors,"Incorporated in 1994, Indo Farm Equipment Limited is engaging in manufacturing Tractors, Pick & Carry Cranes, and other harvesting equipment.[1]"
INDOTECH,3592.35,5,,08-Jan-25,Equity,"? 2,245 Cr.",32.8,24.20%,34.50%,0.00%,Capital Goods - Electrical Equipment,Electric Equipment,"Indo Tech Transformers Ltd. is engaged in the business of manufacturing power and distribution transformers and various special application transformers, mobile substation transformers and substations."
INDOTHAI,1570.45,5,,08-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
INDRAMEDCO,550,-2.79,,08-Jan-25,Equity,"? 3,605 Cr.",23.8,29.10%,38.40%,1.14%,Healthcare,Healthcare,"Incorporated in 1988 as a JV between Apollo Hospitals Enterprise Ltd. (AHEL) and the Delhi Government, Indraprastha Medical Corporation Ltd. is a super speciality tertiary care hospital in New Delhi. The Co. currently has 52 speciality departments."
INNOVACAP,1187.9,-4.2,,08-Jan-25,Equity,"? 4,722 Cr.",51.3,14.00%,14.80%,0.00%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in January 2005, Innova Captab Ltd is a pharmaceutical company is an integrated pharmaceutical company in India with a presence across the pharmaceutical value chain."
JINDWORLD,443.3,-0.38,,08-Jan-25,Equity,"? 7,257 Cr.",94.9,10.30%,9.74%,0.06%,Textiles,Textiles - Products,"Jindal Worldwide Ltd is engaged in the Textiles Sector and the main business activities are related to the manufacturing of Denim fabric, premium shirtings, yarn dyeing, bottom weights and home textiles through its various internal divisions"
KALYANIFRG,772.95,5,,08-Jan-25,Equity,? 205 Cr.,30.1,5.64%,8.85%,0.53%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1979, Kalyani Forge Ltd manufactures high-quality, hot-warm and cold-forged products[1]"
KIMS,653,0.56,,08-Jan-25,Equity,"? 23,262 Cr.",90.3,13.40%,16.90%,0.00%,Healthcare,Healthcare,"Krishna Medical Institution Ltd (KIMS) was Incorporated in the year 1973 and is one of the largest corporate healthcare groups in Andhra Pradesh and Telangana in terms of patients treated and treatments offered. The company offers multidisciplinary healthcare services with primary, secondary, and tertiary care across 2-3 tier cities and an additional quaternary healthcare facility in tier-1 cities."
KINGFA,3761,-2.27,,08-Jan-25,Equity,"? 3,359 Cr.",23.2,23.20%,30.10%,0.36%,Plastic products,Plastics Products,"Kingfa Science & Technology (India) Limited, a subsidiary company of M/s Kingfa Science & Technology Co. Ltd China, is engaged in the business of manufacturing and supply of high-quality modified plastic compounds for automotive and consumer products and personal protective equipments like masks and gloves."
LLOYDSENT,58.15,-2.15,,08-Jan-25,Equity,"? 5,876 Cr.",314,0.56%,0.73%,0.22%,Trading,Trading,Company core business is trading in Iron & Steel products [1]
MAXHEALTH,1199.15,0.07,,08-Jan-25,Equity,"? 97,569 Cr.",119,9.34%,11.70%,0.15%,Healthcare,Healthcare,"Max Healthcare Institute Limited is primarily engaged in the providing healthcare services through primary care clinics, multi-speciality hospitals / medical centres and super-speciality hospitals providing operation and management, medical services, clinical, radiology, pathology services and related healthcare services."
MAZDA,1818,4.51,,08-Jan-25,Equity,? 499 Cr.,17.4,15.90%,21.30%,1.28%,Capital Goods-Non Electrical Equipment,Engineering,"Mazda Limited, incorporated in 1990, is engaged in the business of manufacturing Engineering goods like Vacuum Products, Evaporators, Pollution Control Equipments and Manufacturing of Food Products like Food colour, Various Fruit Jams & Fruit mix Powders etc."
MEGASOFT,107.5,4.99,,08-Jan-25,Equity,? 474 Cr.,86.2,3.78%,7.30%,0.00%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1999, Megasoft Ltd is
in the business of providing Telecom
services[1]"
MHHL,67.95,-4.09,,08-Jan-25,SME,? 109 Cr.,10.5,11.10%,14.50%,0.84%,Healthcare,Healthcare,"Incorporated in 2009, Mohini Health and Hygiene Ltd is in the business of healthcare and hygiene products[1]"
ORIENTTECH,602,1.84,,08-Jan-25,Equity,"? 1,429 Cr.",27.9,27.30%,34.00%,0.52%,IT - Software,Computers - Software - Medium / Small,"Incorporated in July 1997, Orient Technologies Limited is a rapidly expanding IT solutions provider based in Mumbai, Maharashtra, with deep expertise in creating specialized products and solutions within its business verticals."
PGIL,1572.9,0.48,,08-Jan-25,Equity,"? 6,531 Cr.",151,6.95%,9.54%,0.62%,Readymade Garments/ Apparells,Textiles - Products,"Pearl Global Industries Ltd. incorporated in 1987. [1] Pearl Global Industries Limited (PGIL) is a garment exporter, manufacturing from multiple sourcing regions within India and countries within South Asia. The product range includes knits, woven, and bottoms across men, women, and kids' wear segments."
PIGL,378.25,5,,08-Jan-25,Equity,? 404 Cr.,35.7,12.20%,17.00%,0.08%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1975, Power & Instrumentation (Gujarat) Ltd is in the business of Electrical Contract Work and deals in electrical
equipment"
POKARNA,1344,6.73,,08-Jan-25,Equity,"? 3,443 Cr.",Book Value,-5.91%,-1.36%,0.05%,Consumer Durables,Miscellaneous,"Pokarna established their Granite business in 1991. Their products today are renowned for its quality, uniqueness, design and variation. Their state-of-the-art manufacturing facilities are equipped with specialized Bretonstone� technology, used for producing Quartz surfaces. They have strong presence in 23 countries and a robust distribution network which enables them to maintain uninterrupted and steady supply of products. Their Quartz surfaces are marketed under the brand name Quantra, while their granite products are sold under the Pokarna brand. We also have apparel manufacturing & retailing business under STANZA brand."
PTCIL,17419,2.92,,08-Jan-25,Equity,"? 19,604 Cr.",800,5.22%,7.83%,0.00%,"Castings, Forgings & Fastners",Castings & Forgings,"PTC Industries Limited manufactures metal components for critical and supercritical applications for industries like Defence, Oil & Gas, Liquefied Natural Gas (LNG), Ships & Marine etc. {# https://www.bseindia.com/bseplus/AnnualReport/539006/72682539006.pdf#page.20000"
RNFI,272.35,4.99,,08-Jan-25,SME,? 704 Cr.,77.1,46.90%,41.40%,0.00%,E-Commerce/App based Aggregator,Miscellaneous,"Incorporated in 2015, RNFI Services Ltd is a fintech firm that offers B2B and B2B2C solutions through its online portal and mobile application.[1]"
SHAKTIPUMP,1344.85,5,,08-Jan-25,Equity,"? 10,159 Cr.",28.2,22.60%,29.50%,0.08%,Capital Goods-Non Electrical Equipment,Pumps,"Shakti Pumps (India) Ltd is primarily engaged in manufacturing of pumps and motors of various kinds. It also offers advanced water pumping solutions to a wide range of applications such as irrigation, horticulture, domestic water supply, commercial and industrial applications.
Its brand ""Shakti"" is well received in the domestic and international markets."
SUNCLAY,2853,4.49,,08-Jan-25,Equity,"? 5,419 Cr.",70.1,16.40%,13.50%,0.21%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1962, Sundaram Clayton Ltd
is in the business of manufacturing automotive components[1]"
SUNFLAG,301,1.16,,08-Jan-25,Equity,"? 4,003 Cr.",24.8,3.34%,5.67%,0.00%,Steel,Steel - Medium / Small,"Sunflag Iron & Steel Company Ltd was established in 1984 & is a part of Sunflag Group, company started operations in 1989 as a spring steel producer however, at present the company manufactures mild-steel and alloy steel products of varieties like carbon steel, free & semi free cutting steels,etc."
TARIL,1240,0.32,,08-Jan-25,Equity,"? 12,091 Cr.",82.5,8.81%,14.10%,0.02%,Capital Goods - Electrical Equipment,Electric Equipment,"Transformers and Rectifiers (India) Ltd. is a manufacturer of Power, Furnace and Rectifier Transformers. [1]"
TECHLABS,1593.35,5,,08-Jan-25,SME,"? 1,764 Cr.",111,28.30%,29.50%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, Trident Techlabs Ltd
sells goods and also provides power sector consultancy[1]"
VAKRANGEE,37.05,2.29,,08-Jan-25,Equity,"? 1,798 Cr.",269,3.65%,9.52%,0.30%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1990, Vakrangee is a technology-driven company centered around building last-mile retail outlets to deliver BFSI and other services to the unserved and underserved rural, semi-urban, and urban population of the country."
VARDMNPOLY,14.6,4.96,,08-Jan-25,Equity,? 520 Cr.,34.9,%,%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1981, Vardhman Polytex
Ltd manufactures yarn and garments[1]"
VINSYS,436,6.6,,08-Jan-25,SME,? 565 Cr.,55.8,23.30%,21.20%,0.00%,Computer Education,Computers - Education,"Incorporated in 2008, Vinsys IT Services India offers services in IT skill development, training, and certification domain.[1]"
VISASTEEL,45.48,4.99,,08-Jan-25,Equity,? 407 Cr.,Book Value,%,-7.08%,0.00%,Ferro Alloys,Mining / Minerals / Metals,"Incorporated in 1996, VISA Steel Ltd does manufacturing of High Carbon Ferro Chrome[1]"
WEBELSOLAR,1826,0.39,,08-Jan-25,Equity,"? 5,197 Cr.",105,-6.40%,-14.30%,0.00%,Capital Goods - Electrical Equipment,Electric Equipment,Websol Energy System Limited is engaged in the business of manufacturing photovoltaic crystalline solar cells and related modules in India. [1]
WELENT,648.2,-0.46,,08-Jan-25,Equity,"? 6,847 Cr.",23.8,11.60%,15.40%,0.61%,Infrastructure Developers & Operators,Construction,"Welspun Enterprises Limited (WEL) , formerly known as Welspun Projects Ltd., is a part of the USD 2.7 billion Welspun Group. The Company operates in the infrastructure space with investments in oil & gas."
ZOTA,987.5,1.96,,08-Jan-25,Equity,"? 2,412 Cr.",387,3.13%,4.56%,0.11%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Zota Health Care Limited is a renowned pharmaceutical company that manufactures, markets, and exports pharmaceutical, ayurvedic, nutraceutical, and over-the-counter (OTC) products across boundaries into the semi-regulated and regulated markets of Asian Countries markets of African Countries, Russian Countries & Latin America."
ASALCBR,1184.9,0.71,,09-Jan-25,Equity,"? 2,188 Cr.",30.6,12.90%,14.50%,0.18%,Alcoholic Beverages,Breweries & Distilleries,"Associated Alcohols & Breweries Ltd is in business of manufacturing and trading of ENA, Indian Made Indian Liquor (Country Liquor), Indian Made Foreign Liquor and Hand sanitizer."
ASHAPURMIN,474.45,-2.1,,09-Jan-25,Equity,"? 3,956 Cr.",52.2,78.20%,54.40%,0.00%,Mining & Mineral products,Mining / Minerals / Metals,"Incorporated on 19th February 1982, Ashapura Minechem Ltd. is engaged in the mining, manufacturing and trading of various minerals and its derivative products. The company offers multi-mineral solutions across several industries from soaps to steel, energy to edible oils, metal to medicine and cement to ceramics. The company has its network of operations pan-India and in 7 other countries."
ATLASCYCLE,102.56,5,,09-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
AVONMORE,27.24,-5.02,,09-Jan-25,Equity,? 641 Cr.,46.9,-0.07%,2.78%,0.00%,Finance,Finance & Investments,"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans
and advances to corporations, and sub-
broker advisory services"
CHETANA,110.8,0.68,,09-Jan-25,SME,? 189 Cr.,15.7,%,%,0.00%,Printing & Stationery,Printing & Stationery,"Established in 2017, Chetana Education Limited publishes CBSE/State Board textbooks for K-12 and develops educational software and videos accessible via QR codes."
GANESHHOUC,1310.6,-1.36,,09-Jan-25,Equity,"? 10,574 Cr.",22,24.90%,33.30%,0.87%,Realty,Construction,"Incorporated in 1991, Ganesh Housing Corporation Ltd is in the business of real estate development in residential and commercial segment and infrastructure projects"
GENESYS,1022,3.48,,09-Jan-25,Equity,"? 3,078 Cr.",45.1,8.89%,11.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Genesys International Corporation Ltd is engaged in providing Geographical Information Services comprising of photogrammetry, remote sensing, cartography, data conversion, terrestrial and 3D geo-content including location navigation mapping and other computer based related services."
GICL,110.25,5,,09-Jan-25,SME,? 269 Cr.,87.5,6.01%,8.65%,0.00%,Logistics,Miscellaneous,"Incorporated in 2010, Globe International
Carriers Ltd. is an end-to-end transportation
and logistic service provider[1]"
GOLDIAM,475,-0.82,,09-Jan-25,Equity,"? 4,126 Cr.",65.8,21.20%,26.90%,0.52%,"Diamond, Gems and Jewellery",Diamond Cutting / Jewellery,"Incorporated in 1986, Goldiam International Ltd is engaged in the business of manufacturing and exporting gold and diamond jewelry to global retailers. [1]"
IGIL,602.7,-2.85,,09-Jan-25,Equity,"? 19,547 Cr.",59.3,76.90%,105%,0.00%,Miscellaneous,Miscellaneous,"International Gemmological Institute Ltd is
world's largest independent certification and acccreditation services provider in the fields
of diamond, gemstone and jewelry"
INDOTECH,3650,1.6,,09-Jan-25,Equity,"? 2,245 Cr.",32.8,24.20%,34.50%,0.00%,Capital Goods - Electrical Equipment,Electric Equipment,"Indo Tech Transformers Ltd. is engaged in the business of manufacturing power and distribution transformers and various special application transformers, mobile substation transformers and substations."
INDOTHAI,1648.95,5,,09-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
IRIS,500.7,4.99,,09-Jan-25,Equity,? 777 Cr.,53.9,21.30%,23.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, IRIS Business Services
Ltd offers Regtech solutions to regulators and enterprises[1]"
JAKHARIA,48.7,4.96,,09-Jan-25,SME,? 25.9 Cr.,Book Value,2.08%,8.33%,0.00%,Textiles,Textiles - Products,"Incorporated in 2007, Jakharia Fabric Ltd is a manufacturer of textile products including Job work[1]"
KALYANIFRG,811.55,4.99,,09-Jan-25,Equity,? 205 Cr.,30.1,5.64%,8.85%,0.53%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1979, Kalyani Forge Ltd manufactures high-quality, hot-warm and cold-forged products[1]"
MEGASOFT,104,-2.65,,09-Jan-25,Equity,? 474 Cr.,86.2,3.78%,7.30%,0.00%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1999, Megasoft Ltd is
in the business of providing Telecom
services[1]"
MGEL,30.3,4.66,,09-Jan-25,Equity,? 410 Cr.,14,14.70%,14.10%,0.08%,Trading,Trading,"Incorporated in 2010, Mangalam Global Enterprise Ltd manufactures and deals in Edible, Non-edible Oil, Seeds and its derivatives[1]"
NAVINFLUOR,3822.55,9.43,,09-Jan-25,Equity,"? 19,918 Cr.",95.2,8.79%,10.70%,0.30%,Chemicals,Chemicals,"Navin Fluorine International Ltd is primary engaged in producing refrigeration gases, inorganic fluorides, specialty organofluorines and offers contract research and manufacturing services. Its portfolio includes 50+ fluorinated compounds developed over the years."
OMFURN,109.9,3.34,,09-Jan-25,SME,? 120 Cr.,28.9,9.35%,13.50%,0.00%,Consumer Durables,Miscellaneous,"Incorporated in 1997, Omfurn India Ltd manufactures, supplies and exports Commercial and Residential Furniture[1]"
PGIL,1572.85,0.32,,09-Jan-25,Equity,"? 6,531 Cr.",151,6.95%,9.54%,0.62%,Readymade Garments/ Apparells,Textiles - Products,"Pearl Global Industries Ltd. incorporated in 1987. [1] Pearl Global Industries Limited (PGIL) is a garment exporter, manufacturing from multiple sourcing regions within India and countries within South Asia. The product range includes knits, woven, and bottoms across men, women, and kids' wear segments."
PIGL,397.15,5,,09-Jan-25,Equity,? 404 Cr.,35.7,12.20%,17.00%,0.08%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1975, Power & Instrumentation (Gujarat) Ltd is in the business of Electrical Contract Work and deals in electrical
equipment"
PPSL,40.8,-1.21,,09-Jan-25,SME,? 93.3 Cr.,22,%,%,0.00%,Entertainment,Entertainment / Electronic Media Software,"Incorporated in 2019, Picture Post Studios Limited specializes in movie editing, computer-generated imagery (CGI), visual effects (VFX), video conversion, grading, and mastering films and commercials for various channels and digital platforms."
PTCIL,17305,0.89,,09-Jan-25,Equity,"? 19,604 Cr.",800,5.22%,7.83%,0.00%,"Castings, Forgings & Fastners",Castings & Forgings,"PTC Industries Limited manufactures metal components for critical and supercritical applications for industries like Defence, Oil & Gas, Liquefied Natural Gas (LNG), Ships & Marine etc. {# https://www.bseindia.com/bseplus/AnnualReport/539006/72682539006.pdf#page.20000"
RAMAPHO,227.46,-5.63,,09-Jan-25,Equity,? 342 Cr.,30.5,-9.39%,-6.06%,0.00%,Fertilizers,Fertilizers,"Incorporated in 1982, Rama Phosphates Ltd manufactures Fertilizer, Sulphuric Acid, Micro Nutrients and Soya oil[1]"
RNFI,279.5,2.63,,09-Jan-25,SME,? 704 Cr.,77.1,46.90%,41.40%,0.00%,E-Commerce/App based Aggregator,Miscellaneous,"Incorporated in 2015, RNFI Services Ltd is a fintech firm that offers B2B and B2B2C solutions through its online portal and mobile application.[1]"
SHAILY,1610,2.35,,09-Jan-25,Equity,"? 7,014 Cr.",133,8.73%,11.00%,0.07%,Plastic products,Plastics Products,"The Company is engaged in the manufacture and sale of injection moulded precision plastic components, sub-assemblies for various requirements of Original Equipment Manufacturers (OEM)."
